V_THD_L1_kocos_200,V_THD_L2_kocos_200,V_THD_L3_kocos_200,I_THD_L1_kocos_200,I_THD_L2_kocos_200,I_THD_L3_kocos_200,E_kocos_200,T_kocos_200,P_kocos_200,Q_kocos_200,I_L1_kocos_200,I_L2_kocos_200,I_L3_kocos_200,V_L1_kocos_200,V_L2_kocos_200,V_L3_kocos_200,ConnectorType_ID2,STATE_ID2,ChargeState_ID2,SoC_ID2,Capacity_EV_ID2,Output_Voltage_ID2,Output_Current_ID2,Output_Power_ID2,AC_Power_set_ID2,ConnectorType_ID3,STATE_ID3,ChargeState_ID3,SoC_ID3,Capacity_EV_ID3,Output_Voltage_ID3,Output_Current_ID3,Output_Power_ID3,AC_Power_set_ID3,ConnectorType_ID4,STATE_ID4,ChargeState_ID4,Output_Voltage_ID4,Output_Current_ID4,Output_Power_ID4,AC_Power_set_ID4,epoch
2.73576164245605,2.74504518508911,2.57086730003357,40.7543144226074,17.172513961792,34.6593437194824,636.21875,23.4689693450928,0.0409304847717285,-0.139585296630859,0.461119771003723,0.184067919850349,0.096223495900631,235.209915161133,235.540786743164,235.235473632813,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.00967450439929962,8.25999956578016e-06,0,1695628484519
2.73576164245605,2.74504518508911,2.57086730003357,40.7543144226074,17.172513961792,34.6593437194824,636.21875,23.4689693450928,0.0409304847717285,-0.139585296630859,0.461119771003723,0.184067919850349,0.096223495900631,235.209915161133,235.540786743164,235.235473632813,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.0106903277337551,8.25999956578016e-06,0,1695628485015
2.74137902259827,2.74789357185364,2.57760047912598,40.6654014587402,16.8777637481689,34.039379119873,636.21875,23.4689350128174,0.0411816139221191,-0.139384185791016,0.454595685005188,0.182387441396713,0.0996237993240356,235.265609741211,235.5791015625,235.223114013672,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.0106903277337551,8.25999956578016e-06,0,1695628485523
2.74137902259827,2.74789357185364,2.57760047912598,40.6654014587402,16.8777637481689,34.039379119873,636.21875,23.4689350128174,0.0411816139221191,-0.139384185791016,0.454595685005188,0.182387441396713,0.0996237993240356,235.265609741211,235.5791015625,235.223114013672,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.0101743545383215,2.47799996286631e-05,0,1695628486036
2.78251051902771,2.79735374450684,2.61738109588623,40.0434494018555,17.5348110198975,33.9201202392578,636.21875,23.4766063690186,0.0417924652099609,-0.140286392211914,0.465441405773163,0.190642431378365,0.108932852745056,235.252624511719,235.579315185547,235.224960327148,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.0101743545383215,2.47799996286631e-05,0,1695628486546
2.79260158538818,2.80765080451965,2.62885570526123,40.4987602233887,17.4847583770752,34.7074279785156,636.21875,23.472785949707,0.0423292846679688,-0.140649337768555,0.462863057851791,0.191587835550308,0.0971644818782806,235.200302124023,235.507125854492,235.184127807617,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.009932491928339,1.65199991315603e-05,0,1695628487052
2.80809092521667,2.8313090801239,2.65400624275208,41.2719650268555,17.2920398712158,35.622615814209,636.21875,23.4727745056152,0.041575740814209,-0.139850311279297,0.457389771938324,0.18797042965889,0.114431120455265,235.277191162109,235.629150390625,235.263290405273,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.009932491928339,1.65199991315603e-05,0,1695628487558
2.80809092521667,2.8313090801239,2.65400624275208,41.2719650268555,17.2920398712158,35.622615814209,636.21875,23.4727745056152,0.041575740814209,-0.139850311279297,0.457389771938324,0.18797042965889,0.114431120455265,235.277191162109,235.629150390625,235.263290405273,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.010416217148304,1.65199991315603e-05,0,1695628488067
2.81621932983398,2.82897305488586,2.64639782905579,40.2402191162109,17.5972213745117,35.1378936767578,636.21875,23.4689674377441,0.0403332824707031,-0.140638717651367,0.456402808427811,0.203130319714546,0.120341971516609,235.246688842773,235.580520629883,235.260803222656,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.010416217148304,1.65199991315603e-05,0,1695628488573
2.81621932983398,2.82897305488586,2.64639782905579,40.2402191162109,17.5972213745117,35.1378936767578,636.21875,23.4689674377441,0.0403332824707031,-0.140638717651367,0.456402808427811,0.203130319714546,0.120341971516609,235.246688842773,235.580520629883,235.260803222656,1,0,0,0,0,0,0,0,0,2,7,4,10.1,2.6,0,0,0,0,0,1,0,0,0.0101904785260558,0,0,1695628489080
